"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","299","Recharge Wallet (Mock Mode)","MyMealBuddy - Wallet APIs","Wed Jun 24 21:15:54 IST 2026","passed","Wed Jun 24 21:15:54 IST 2026","","","",""
"","448","Setup - Send OTP","MyMealBuddy - Subscriptions APIs","Wed Jun 24 21:16:16 IST 2026","passed","Wed Jun 24 21:16:16 IST 2026","","","",""
"","188","Resume Subscription","MyMealBuddy - Subscriptions APIs","Wed Jun 24 21:16:18 IST 2026","passed","Wed Jun 24 21:16:18 IST 2026","","","",""
"","195","Get Transaction History","MyMealBuddy - Wallet APIs","Wed Jun 24 21:15:54 IST 2026","passed","Wed Jun 24 21:15:54 IST 2026","","","",""
"","403","Admin Credit Wallet","MyMealBuddy - Wallet APIs","Wed Jun 24 21:15:54 IST 2026","passed","Wed Jun 24 21:15:55 IST 2026","","","",""
"","189","Setup - Verify OTP","MyMealBuddy - Delivery APIs","Wed Jun 24 21:16:02 IST 2026","passed","Wed Jun 24 21:16:02 IST 2026","","","",""
"","446","Setup - Get Token","MyMealBuddy - Payments APIs","Wed Jun 24 21:16:24 IST 2026","passed","Wed Jun 24 21:16:24 IST 2026","","","",""
"","168","Setup - Verify OTP","MyMealBuddy - Subscriptions APIs","Wed Jun 24 21:16:16 IST 2026","passed","Wed Jun 24 21:16:16 IST 2026","","","",""
"","487","Verify OTP","MyMealBuddy - Auth APIs","Wed Jun 24 21:16:30 IST 2026","passed","Wed Jun 24 21:16:31 IST 2026","","","",""
"","150","Get User Addresses","MyMealBuddy - Auth APIs","Wed Jun 24 21:16:31 IST 2026","passed","Wed Jun 24 21:16:32 IST 2026","","","",""
"","98","Dunzo Webhook (Mock)","MyMealBuddy - Payments APIs","Wed Jun 24 21:16:25 IST 2026","passed","Wed Jun 24 21:16:25 IST 2026","","","",""
"","196","Update Delivery Address","MyMealBuddy - Auth APIs","Wed Jun 24 21:16:32 IST 2026","passed","Wed Jun 24 21:16:32 IST 2026","","","",""
"","210","Setup - Add Address","MyMealBuddy - Subscriptions APIs","Wed Jun 24 21:16:16 IST 2026","passed","Wed Jun 24 21:16:17 IST 2026","","","",""
"","170","Get Menu Details","MyMealBuddy - Menus APIs","Wed Jun 24 21:16:10 IST 2026","passed","Wed Jun 24 21:16:10 IST 2026","","","",""
"","193","Get Delivery History","MyMealBuddy - Delivery APIs","Wed Jun 24 21:16:03 IST 2026","passed","Wed Jun 24 21:16:04 IST 2026","","","",""
"","490","Cleanup - Reset Wallet","MyMealBuddy - Wallet APIs","Wed Jun 24 21:15:55 IST 2026","passed","Wed Jun 24 21:15:56 IST 2026","","","",""
"","259","Add Delivery Address","MyMealBuddy - Auth APIs","Wed Jun 24 21:16:31 IST 2026","passed","Wed Jun 24 21:16:31 IST 2026","","","",""
"","190","Create Subscription","MyMealBuddy - Subscriptions APIs","Wed Jun 24 21:16:17 IST 2026","passed","Wed Jun 24 21:16:17 IST 2026","","","",""
"","268","Cancel Subscription","MyMealBuddy - Subscriptions APIs","Wed Jun 24 21:16:18 IST 2026","passed","Wed Jun 24 21:16:18 IST 2026","","","",""
"","460","Setup - Send OTP","MyMealBuddy - Delivery APIs","Wed Jun 24 21:16:02 IST 2026","passed","Wed Jun 24 21:16:02 IST 2026","","","",""
"","7004","Setup - Send OTP","MyMealBuddy - Wallet APIs","Wed Jun 24 21:15:46 IST 2026","passed","Wed Jun 24 21:15:53 IST 2026","","","",""
"","192","Calculate Subscription Price","MyMealBuddy - Subscriptions APIs","Wed Jun 24 21:16:17 IST 2026","passed","Wed Jun 24 21:16:17 IST 2026","","","",""
"","192","Create Delivery Task","MyMealBuddy - Delivery APIs","Wed Jun 24 21:16:03 IST 2026","passed","Wed Jun 24 21:16:03 IST 2026","","","",""
"","165","Get User Payment History","MyMealBuddy - Payments APIs","Wed Jun 24 21:16:24 IST 2026","passed","Wed Jun 24 21:16:25 IST 2026","","","",""
"","229","Get User Subscriptions","MyMealBuddy - Subscriptions APIs","Wed Jun 24 21:16:17 IST 2026","passed","Wed Jun 24 21:16:17 IST 2026","","","",""
"","208","Pause Subscription","MyMealBuddy - Subscriptions APIs","Wed Jun 24 21:16:18 IST 2026","passed","Wed Jun 24 21:16:18 IST 2026","","","",""
"","333","Cleanup","MyMealBuddy - Delivery APIs","Wed Jun 24 21:16:04 IST 2026","passed","Wed Jun 24 21:16:04 IST 2026","","","",""
"","175","Track Delivery Task","MyMealBuddy - Delivery APIs","Wed Jun 24 21:16:03 IST 2026","passed","Wed Jun 24 21:16:03 IST 2026","","","",""
"","259","Setup - Verify OTP","MyMealBuddy - Wallet APIs","Wed Jun 24 21:15:53 IST 2026","passed","Wed Jun 24 21:15:53 IST 2026","","","",""
"","178","Get Menus by City","MyMealBuddy - Menus APIs","Wed Jun 24 21:16:10 IST 2026","passed","Wed Jun 24 21:16:10 IST 2026","","","",""
"","234","Get Wallet Balance (After Recharge)","MyMealBuddy - Wallet APIs","Wed Jun 24 21:15:54 IST 2026","passed","Wed Jun 24 21:15:54 IST 2026","","","",""
"","197","Get Final Wallet Balance","MyMealBuddy - Wallet APIs","Wed Jun 24 21:15:55 IST 2026","passed","Wed Jun 24 21:15:55 IST 2026","","","",""
"","337","Setup - Create Subscription","MyMealBuddy - Delivery APIs","Wed Jun 24 21:16:03 IST 2026","passed","Wed Jun 24 21:16:03 IST 2026","","","",""
"","337","Admin Debit Wallet","MyMealBuddy - Wallet APIs","Wed Jun 24 21:15:55 IST 2026","passed","Wed Jun 24 21:15:55 IST 2026","","","",""
"","141","Razorpay Webhook (Mock)","MyMealBuddy - Payments APIs","Wed Jun 24 21:16:25 IST 2026","passed","Wed Jun 24 21:16:25 IST 2026","","","",""
"","285","Setup - Add Address","MyMealBuddy - Delivery APIs","Wed Jun 24 21:16:02 IST 2026","passed","Wed Jun 24 21:16:03 IST 2026","","","",""
"","438","Get Available Cities","MyMealBuddy - Menus APIs","Wed Jun 24 21:16:10 IST 2026","passed","Wed Jun 24 21:16:10 IST 2026","","","",""
"","163","Cleanup - Delete Address","MyMealBuddy - Subscriptions APIs","Wed Jun 24 21:16:18 IST 2026","passed","Wed Jun 24 21:16:19 IST 2026","","","",""
"","194","Get Wallet Balance (Initial)","MyMealBuddy - Wallet APIs","Wed Jun 24 21:15:53 IST 2026","passed","Wed Jun 24 21:15:54 IST 2026","","","",""
"","195","Update User Profile","MyMealBuddy - Auth APIs","Wed Jun 24 21:16:31 IST 2026","passed","Wed Jun 24 21:16:31 IST 2026","","","",""
"","140","Get Subscription Details","MyMealBuddy - Subscriptions APIs","Wed Jun 24 21:16:17 IST 2026","passed","Wed Jun 24 21:16:18 IST 2026","","","",""
